topic,x,y,topics,cluster,Freq
3,-1.1212573,-2.6825707,1,1,3.7
8,-4.749375,2.3287668,2,1,2.479114492688249
1,-1.433443,1.1639967,3,1,1.7407452686191576
6,4.406921,2.7330155,4,1,1.7407452686191576
9,1.5266975,0.12502038,5,1,1.7407452686191576
10,-2.0516784,5.0,6,1,1.2854784797739867
4,-4.313545,-1.442744,7,1,1.1124933569042101
2,2.145597,-3.7099233,8,1,0.7163126931862782
7,4.843133,-1.0383053,9,1,0.7163126931862782
5,1.2142601,3.97094,10,1,0.2
