,title,event_date,collect_date,subject,tables,docs,vids,imgs,content
10,위기의 조선업,2016년 11월 01일 ~ 2048년 01월 31일,2016년 07월 15일 ~ 2016년 08월 11일,사회과학 > 경제학,353,364,12,0,"2000년대 들어 세계 경제는 중국 경제의 팽창과 미국 경제 회복으로 무역량이 크게 증가하였고, 이에 따라 선박수요 또한 급증하게 되어 조선산업은 역사상 최고의 호황을 맞이하였다. 한국은 2003년부터 2006년까지 일본을 제치고 세계 최대 수주국가가 되었지만, 2007년 저가 선박을 앞세운 중국에 선두를 내주게 되었다.
2007년 미국의 서브프라임 모기지 사태가 원인이 된 리먼 브라더스 파산은 2008년 세계 금융 위기를 불러 왔으며, 세계무역량은 크게 감소되고 세계경기는 침체에 빠지게 되었다. 상선 발주도 급감하게 되어 우리나라 중소형 조선업체인 C&중공업, 녹봉조선, YS중공업, 광성조선, 일흥조선, 영광TKS세광중공업, 삼호조선 등이 매각되거나 청산되었다. 또한 2011년 진세조선, 2015년 신아sb 조선이 파산하였으며 2016년 8월 현재, STX조선, 성동조선해양은 법정관리 중이며, SPP조선은 매각절차를 밟고 있다.
2011년 이후 배럴당 100달러 이상의 고유가가 지속되자 메이저 석유회사들은 심해 유전 개발에 뛰어 들어 석유와 가스 등 해양자원을 시추할 수 있는 해양플랜트 공사를 대거 발주하였다. 심각한 위기에 직면해 있던 국내 중소형 조선업체와 달리 국내 빅3 인 현대중공업과 대우, 삼성과 같은 대형 조선업체는 해양플랜드에서 잇달아 수주하면서 위기를 모면할 수 있었고, 2009년 이후 위기에 처한 중소 조선업체에서 쏟아져 나오는 인력을 하청으로 흡수하였다.
2014년 미국이 셰일가스의 생산량을 늘리고 원유수출 금지 조항을 해제하기로 하기로 하면서 LNG선의 발주가 늘었고, 삼성중공업과 현대중공업은 수주하게 되었다. 그러나 2014년 11월 석유수출국기구(OPEC)은 셰일가스와 원유 간의 에너지 시장 주도권을 지키기 위하여 원유 감산을 거부하였다. 이때부터 세계 경기 둔화되면서 원유 공급과잉으로 유가는 추락하였다.
2016년 2월 국제유가는 배럴당 20달러 선까지 하락하였다. 메이저 석유회사는 저유가가 지속되자 해양플랜트 사업을 취소하기 시작하였고, 대형조선업체인 현대중공업과 대우해양조선 그리고 삼성중공업도 타격을 입게 되었다.
국내 조선업체는 2008년 세계 금융 위기로 한 차례 어려움을 겪으면서 감가상각 주기에 따라 수요가 발생할 수 있는 상선보다는 유가에 따라 유동적이지만 고부가가치 사업인 해양플랜트 부문에 집중하여 위기를 돌파하고자 하였다. 그러나 국내 대형조선업체인 3사의 과다 경쟁에 따른 저가수주, 적정 생산 능력보다 150% 정도 많은 과잉 수주, 그리고 해양플랜트 기술이 부족함에도 설계부터 시공까지 다 하는 턴키 방식으로 인한 공기지연과 이에 따른 추가 비용 상승, 이와 더불어 해양플랜트 발주사의 인도지연 및 취소와 경영진의 오판과 과욕이 복합적으로 작용하면서 조선업의 위기는 가중되었다.

<피해수습>
2016년 5월 16일 조선업의 구조조정이 본격화하면 하청기업을 포함하여 최대 5만 명의 실업자가 발생할 수도 있다는 분석이 나오는 등 조선업의 불황으로 대규모 인력구조조정이 예상되자, 정부는 2016년 6월 30일 조선업을 특별고용지원업종으로 지정하여 실직 근로자에 대한 생계안정, 고용 유지 지원을 강화하고자 하였으며, 현대중공업과 삼성중공업, 대우조선해양은 이 대상에 포함되지 않았다.

<출처>
- [위기의 조선업①]수주절벽 암담…올 선박수주량 전년比 16% 감소 전망). 정필재, Newsis, 2016.05.01
- [위기의 조선업②]韓조선업 왜 망가졌나…중국특수에 취하고, 해양플랜트에 발목. 정필재, Newsis , 2016.05.01
- [위기의 조선업③]韓조선업 미래 생존비법은?…""빅3, 1~2개로 합쳐야"" vs ""몸집 줄여 버텨야"". 정필재, Newsis, 2016.05.01
- 세계 1위 한국 조선, 정말 위기인가?. 정웅재, 민중의소리, 2016.05.04
- [탐사플러스] 조선업 침몰, 외부 요인 외 내부 '구멍'도. 김태영, JTBC, 2016.05.09
- 조선업 몰락이 말하는 진실 “대마불사·속도전 그만” 박은하, 경향비즈
- 조선업 위기는 ‘하청, 해양플랜트 위주 성장의 위기’, 이정호, 뉴스타파. 2015.12.23
- 조선업 부진의 원인과 전망. 김창완, 리서치미디어스, 2015.09.08
- 조선업 불황 거제시 ""해양플랜트 산단 추진이 돌파구"". 이경욱, 연합뉴스,2016.05.26
- “세일가스의 배신”...조선업 위기의 출발은 美-OPEC 싸움. 강기준, 머니투데이, 2016.05.23
- 고용부, 조선업 특별고용지원업종 지정에서 ‘빅3’ 제외. 김문관, 조선비즈, 2016.06.30
- 정부, 조선업 특별고용지원업종 지정…대형 3사는 제외. 박영미, Newsis, 2016.06.30"
11,2016년 고고도미사일방어체계(사드•THAAD)의 한반도 배치 결정,2016년 07월 08일,2016년 07월 14일 ~ 2016년 07월 22일,사회과학 > 정치학,519,67,26,0,"한반도 사드배치에 대한 언급은 2011년 당시 주한미군사령관이 미 의회 청문회에서 주한미군에 사드를 배치할 필요가 있다고 함에 따라 시작되었으며, 2014년 9월에는 미국이 사드의 한국 배치 가능성을 타진하기 위해 부지 및 군사적 영향 등에 대한 현장 조사를 마쳤다고 알려졌다. 2014년 9월 30일(현지 시각) 로버트 워크 미국 국방부 부장관은 미국외교협회(CFR) 주최 간담회에서 사드 포대를 한국에 배치하는 것도 고려하고 있고, 사드 배치가 맞는 일인지를 결정하기 위해 한국 정부와 협의하고 있다고 말했으나 우리 국방부 관계자는 부인하였다."
12,제 20대 국회의원선거,2016년 04월 13일 ~ 2016년 04월 13일,2016년 03월 21일 ~ 2016년 05월 10일,사회과학 > 정치학,355,881,407,0,"<출처>
- 중앙선거관리위원회 (http://info.nec.go.kr/)
- <이슈> 2016 4.13 총선, 경향신문 ( http://vote2016.khan.co.kr/)
- <특집> 2016 국민의 선택, SBS뉴스
- Daum 뉴스 x SBS 2016 국민의 선택 4.13총선(http://media.daum.net/m/election/2016/0413/)
- 중앙선거관리위원회 블로그 “정정당당스토리”(http://blog.nec.go.kr/220729889343)
- NAVER뉴스 ‘2016 제20대 국회의원선거“"
13,가습기 살균제 사건,2001년 01월 01일,2016년 05월 26일 ~ 2017년 07월 12일,"사회과학 > 사회학, 사회문제","1,063",395,49,24,"- 가습기 살균제 건강피해 사건 백서: 사건인지부터 피해 1차 판정까지, 보건복지부 질병관리본부 폐손상조사위원회, 2014.12"
14,2016년 북한 장거리로켓(미사일) 발사에서 개성공단 전면중단까지,2016년 02월 07일 ~ 2016년 12월 10일,2016년 11월 10일 ~ 2016년 12월 10일,사회과학 > 정치학,"1,253",86,1,0,"2016년 2월 7일 오전 9시30분(평양시간 9시) 북한이 7일 오전 9시30분(평양시간 9시)께 전격적으로 평안북도 철산군 동창리에서 장거리 로켓(미사일), 일명 ‘광명성’을 발사했다. 북한 국가우주개발국은 이날 ""새로 연구개발한 지구관측위성 광명성 4호를 궤도에 진입시키는 데 완전 성공 했다""고 발표했으며, 우리 군도 북한이 발사한 장거리 미사일에 탑재된 위성체가 궤도에 진입한 것으로 평가했다. 북한은 장거리 미사일 발사를 인공위성 발사라고 주장했지만, 한국과 미국, 일본은 이를 대륙간탄도미사일(ICBM) 시험발사로 규정, 강력히 규탄했다."
15,2016년 리우데자네이루 하계올림픽(제31회 리우하계올림픽),2016년 08월 05일 ~ 2016년 08월 21일,2016년 07월 26일 ~ 2016년 08월 26일,"예술 > 오락, 스포츠","1,171",10,361,0,"2016년 8월 5일부터 8월 21일까지 개최된 2016 리우데자네이루 하계 올림픽(이하 ‘리우올림픽’)은 IOC출범 122년 만에 처음으로 남아메리카 대륙에서 열린 올림픽이었다. ‘새로운 세상(New World)’을 슬로건으로 한 리우올림픽은 역대 최다인 206개국, 10,903명의 선수가 참가하여 총 28종목의 금메달 306개를 놓고 치열한 승부를 전개했다. 리우 올림픽은 올림픽 역사상 처음으로 내전으로 나라를 잃은 10명의 선수(남수단 5명, 시리아 2명, 콩고민주공화국 2명, 에티오피아 1명)가 난민대표팀(Team Refugee Olympic Athletes)으로 출전하였다.
우리나라는 임원 129명, 선수 204명이 참가하여, 골프, 근대5종, 다이빙, 레슬링 등의 25개 종목에 출전하였고, 총 21개(금 9, 은 3, 동 9)의 메달을 획득하였다."
16,2016년 리우데자네이루 페럴림픽(제15회 리우패럴림픽),2016년 09월 05일 ~ 2016년 09월 18일,2016년 09월 05일 ~ 2016년 09월 30일,"예술 > 오락, 스포츠",165,6,0,1,"패럴림픽(Paralympic Games)은 신체적 장애가 있는 선수들이 참가하는 국제 스포츠대회로써 2016년 리우 패럴림픽은 2016년 9월 7일부터 9월 18일까지 12일 동안 브라질 리우데자네이루에서 개최되었다. 남미 최초의 패럴림픽에는 160개국 4,461명 선수들이 출전, 22개 종목에서 총 528개의 금메달을 놓고 각축을 벌였다.
우리나라는 양궁, 육상, 보치아, 사이클, 유도, 역도, 조정, 사격, 수영, 탁구, 휠체어테니스등 11개 종목에 참가하였다. 참가인원은 선수 81명, 임원58명으로 총 139명이었다. 대한민국 선수단은 금메달 7개, 은메달 11개, 동메달 17개로 총35개의 메달을 획득하여 종합순위 20위를 기록했다."
17,2016년 제97회 전국체육대회,2016년 11월 10일,2016년 11월 10일 ~ 2016년 12월 10일,전국체전,44,1,0,0,"제97회 전국체육대회는 2016년 10월 7일부터 10월13일 까지 7일 동안 아산시 등 15개 시, 군 등의 충남도 일원에서 분산 개최되었다.
‘품어라 행복충남, 뛰어라 대한민국’이라는 구호로 진행된 이번 대회는 17개 시도에서 출전한 고등부, 대학부, 일반부 소속의 24,811명의 선수를 포함한 임원, 심판, 운영요원 등 총 32,000명이 참가하였다. 경기는 45개 정식 종목과 2개 시범 종목(택견, 수상스키)으로 진행되었으며, 개회식은 2016년 10월 7일 16시부터 아산시 이순신종합운동장에서 열렸다. 15개 시·군 640명의 대표 주자들에 의해 952.5 km의 대장정을 거친 성화는 전 골프선수이자, 2016 리우하계올림픽의 대한민국 여자골프 국가대표팀 감독인 박세리가 최종 점화를 맡았다.
이번 대회에서는 한국 신기록 23개, 한국주니어신기록 7개, 대회신기록 104개를 기록되었으며, 금메달 145개, 은메달 133개, 동메달 126개를 획득한 경기도가 종합 우승을 차지했다."
18,2015년 10대 뉴스,2015년 01월 01일 ~ 2015년 12월 31일,2016년 01월 07일 ~ 2016년 01월 19일,"총류 > 신문, 저널리즘",295,29,1,1,"매년 연말이 되면 주요 언론 및 정부기관, 지방자치단체, 각종 단체에서는 한 해를 정리하는 의미에서 국내외 사건, 인물을 비롯한 각 분야에서의 이슈가 되었던 뉴스를 선정하여 10대 뉴스로 발표하였다. 국내 주요 언론사에서 선정한 2015년 국내 10대 뉴스에는 메르스, 역사교과서의 국정화, 헌법재판소의 간통죄 위헌 결정, 성완종 리스트 등이 공통적으로 포함되었다.

<출처>
- 2015 10대 뉴스·인물, 최희진, 김경학, 유희곤, 구교형, 조미덥, 김여란, 임아영, 선명수,허남설, 경향신문 2015.12.20.
- 2015 포커스뉴스 정치 10대 뉴스, 포커스뉴스 2015.12.30."
19,2016년 국제회의 및 컨퍼런스,2016년 01월 01일 ~ 2016년 12월 31일,2016년 05월 04일 ~ 2016년 05월 16일,"총류 > 일반 학회, 단체, 협회, 기관, 연구기관",23,29,8,0,"국내에서 개최되는 국제 회의, 국제 학술회의, 국제 포럼, 국제 심포지움, 세미나 등에 관한 사이트를 수집하여 제공한다."
