,종점,노선ID,노선번호,노선유형,기점
0,세종고속시외버스터미널,SJB293000024,430,간선버스,가톨릭꽃동네대학교
1,조치원역,SJB293000029,550,간선버스,산성동종점
2,산성시장,SJB293000030,551,지선버스,조치원역
3,조치원역,SJB293000033,601,간선버스,"새나루마을9,10단지"
4,세종고속시외버스터미널,SJB293000039,655,광역버스,충남대학교
5,세종고속시외버스터미널,SJB293000057,801,간선버스,민석아파트입구
6,오송역,SJB293000077,B2,광역버스,반석역
7,대곡리,SJB293000078,991,간선버스,국책연구단지북측
8,반석역,SJB293000099,B2,광역버스,오송역
9,국책연구단지북측,SJB293000100,991,간선버스,대곡리
10,산성동/시내버스정류장,SJB293000102,550,간선버스,조치원역
11,"새나루마을9,10단지",SJB293000103,601,간선버스,조치원역
12,충남대학교,SJB293000106,655,광역버스,세종고속시외버스터미널
13,민석아파트입구,SJB293000107,801,간선버스,세종고속시외버스터미널
14,가톨릭꽃동네대학교,SJB293000117,430,간선버스,세종고속시외버스터미널
15,반석역,SJB293000168,1000,광역버스,조형아파트
16,조형아파트,SJB293000169,1000,광역버스,반석역
17,조치원버스터미널,SJB293000170,340,간선버스,세종고속시외버스터미널
18,세종고속시외버스터미널,SJB293000171,340,간선버스,조치원버스터미널
19,장기중학교후문,SJB293000178,1004,광역버스,반석역
20,반석역,SJB293000179,1004,광역버스,장기중학교후문
21,조치원버스터미널,SJB293000180,11,지선버스,조치원버스터미널
22,조치원버스터미널,SJB293000181,12,지선버스,조치원버스터미널
23,장기중학교후문,SJB293000188,52,마을버스,장기중학교후문
24,장기중학교후문,SJB293000190,53,마을버스,장기중학교후문
25,한국영상대학교,SJB293000192,61,마을버스,세종고속시외버스터미널
26,세종고속시외버스터미널,SJB293000193,61,마을버스,한국영상대학교
27,금강수목원(산림박물관),SJB293000194,62,마을버스,세종고속시외버스터미널
28,세종고속시외버스터미널,SJB293000195,62,마을버스,금강수목원(산림박물관)
29,성강리,SJB293000196,63,마을버스,세종고속시외버스터미널
30,세종고속시외버스터미널,SJB293000197,63,마을버스,성강리
31,금천2리마을회관,SJB293000198,64,마을버스,세종고속시외버스터미널
32,세종고속시외버스터미널,SJB293000199,64,마을버스,금천2리마을회관
33,두만2리,SJB293000200,65,마을버스,세종고속시외버스터미널
34,세종고속시외버스터미널,SJB293000201,65,마을버스,두만2리
35,달전리마을회관,SJB293000202,66,마을버스,세종고속시외버스터미널
36,세종고속시외버스터미널,SJB293000203,66,마을버스,달전리마을회관
37,송강마을아파트,SJB293000204,661,광역버스,세종고속시외버스터미널
38,세종고속시외버스터미널,SJB293000205,661,광역버스,송강마을아파트
39,부용2리,SJB293000206,67,마을버스,세종고속시외버스터미널
40,세종고속시외버스터미널,SJB293000207,67,마을버스,부용2리
41,신동2통,SJB293000208,69,마을버스,세종고속시외버스터미널
42,세종고속시외버스터미널,SJB293000209,69,마을버스,신동2통
43,송강마을아파트,SJB293000210,691,광역버스,세종고속시외버스터미널
44,세종고속시외버스터미널,SJB293000211,691,광역버스,송강마을아파트
45,은하수공원,SJB293000212,16,마을버스,조치원버스터미널
46,조치원버스터미널,SJB293000213,16,마을버스,은하수공원
47,보통1리마을회관,SJB293000214,17,마을버스,조치원버스터미널
48,조치원버스터미널,SJB293000215,17,마을버스,보통1리마을회관
49,복지회관,SJB293000216,31,마을버스,조치원버스터미널
50,조치원버스터미널,SJB293000217,31,마을버스,복지회관
51,복지회관,SJB293000218,32,마을버스,조치원버스터미널
52,조치원버스터미널,SJB293000219,32,마을버스,복지회관
53,복지회관,SJB293000220,33,마을버스,조치원버스터미널
54,조치원버스터미널,SJB293000221,33,마을버스,복지회관
55,부강면,SJB293000224,35,마을버스,부강면
56,신탄진역,SJB293000227,300,광역버스,조치원역
57,조치원역,SJB293000228,300,광역버스,신탄진역
58,병천고등학교,SJB293000229,910,지선버스,조치원버스터미널
59,조치원버스터미널,SJB293000230,910,지선버스,병천고등학교
60,문화체육관광부,SJB293000231,204,지선버스,문화체육관광부
61,문화체육관광부,SJB293000232,204,지선버스,문화체육관광부
62,청라리,SJB293000235,71,마을버스,조치원버스터미널
63,조치원버스터미널,SJB293000236,71,마을버스,청라리
64,조치원버스터미널,SJB293000237,72,마을버스,조치원버스터미널
65,조치원버스터미널,SJB293000238,72,마을버스,조치원버스터미널
66,평전,SJB293000239,73,마을버스,조치원버스터미널
67,쌍전리(우리요양원),SJB293000240,74,마을버스,조치원버스터미널
68,장군면사무소,SJB293000241,75,마을버스,조치원버스터미널
69,조치원버스터미널,SJB293000242,75,마을버스,장군면사무소
70,조치원버스터미널,SJB293000243,76,마을버스,조치원버스터미널
71,송성3리(솔티),SJB293000244,81,마을버스,전의역
72,전의역,SJB293000245,81,마을버스,송성3리(솔티)
73,다방1리마을회관,SJB293000246,82,마을버스,전의역
74,전의역,SJB293000247,82,마을버스,다방1리마을회관
75,전의역,SJB293000248,83,마을버스,전의역
76,전의역,SJB293000249,84,마을버스,전의역
77,고등1리마을회관,SJB293000250,85,마을버스,전의역
78,전의역,SJB293000251,85,마을버스,고등1리마을회관
79,재동아파트,SJB293000252,86,마을버스,조치원버스터미널
80,조치원버스터미널,SJB293000253,86,마을버스,재동아파트
81,봉대리,SJB293000254,91,마을버스,조치원버스터미널
82,조치원버스터미널,SJB293000255,91,마을버스,봉대리
83,청람리(동막골),SJB293000256,92,마을버스,조치원버스터미널
84,조치원버스터미널,SJB293000257,92,마을버스,청람리(동막골)
85,송정리,SJB293000258,93,마을버스,조치원버스터미널
86,조치원버스터미널,SJB293000259,93,마을버스,송정리
87,송정리,SJB293000260,94,마을버스,조치원버스터미널
88,조치원버스터미널,SJB293000261,94,마을버스,송정리
89,송성3리(솔티),SJB293000262,95,마을버스,조치원버스터미널
90,조치원버스터미널,SJB293000263,95,마을버스,송성3리(솔티)
91,조치원버스터미널,SJB293000264,13,지선버스,조치원버스터미널
92,전의역,SJB293000265,84,마을버스,전의역
93,보건복지부 고용노동부,SJB293000274,201,지선버스,보건복지부 고용노동부
94,과기정통부(중기부),SJB293000275,201,지선버스,과기정통부(중기부)
95,정부세종청사남측,SJB293000276,202,지선버스,정부세종청사남측
96,정부세종청사남측,SJB293000277,202,지선버스,정부세종청사남측
97,세종누리학교,SJB293000278,221,지선버스,세종고속시외버스터미널
98,세종고속시외버스터미널,SJB293000279,221,지선버스,세종누리학교
99,축산품질평가원,SJB293000280,222,지선버스,새나루마을1단지
100,새나루마을1단지,SJB293000281,222,지선버스,축산품질평가원
101,은하수공원,SJB293000282,1005,광역버스,반석역
102,반석역,SJB293000283,1005,광역버스,은하수공원
103,전의역,SJB293000290,83,마을버스,전의역
104,세종고속시외버스터미널(지하),SJB293000302,B0,급행버스,세종고속시외버스터미널(지하)
105,세종고속시외버스터미널(지하),SJB293000303,B0,급행버스,세종고속시외버스터미널(지하)
106,세종고속시외버스터미널(지상),SJB293000304,B0,급행버스,세종고속시외버스터미널(지상)
107,세종고속시외버스터미널(지상),SJB293000305,B0,급행버스,세종고속시외버스터미널(지상)
108,세종고속시외버스터미널(지상),SJB293000311,B5,급행버스,세종고속시외버스터미널(지상)
109,세종고속시외버스터미널(지상),SJB293000312,B5,급행버스,세종고속시외버스터미널(지상)
110,세종고속시외버스터미널,SJB293000315,205,지선버스,세종고속시외버스터미널
111,세종고속시외버스터미널,SJB293000316,203,지선버스,세종고속시외버스터미널
112,오송역,SJB293000317,B4,광역버스,반석역
113,반석역,SJB293000318,B4,광역버스,오송역
114,오송역,SJB293000319,A2,지선버스,세종고속시외버스터미널(지상)
115,세종고속시외버스터미널(지상),SJB293000320,A2,지선버스,오송역
116,오송역,SJB293000321,A3,일반버스,세종고속시외버스터미널(지상)
117,세종고속시외버스터미널(지상),SJB293000322,A3,일반버스,오송역
118,오송역,SJB293000323,B2,지선버스,세종고속시외버스터미널(지상)
119,매곡(종점),DGB1000001000,급행1,급행버스,동화시설집단지구(종점)1
120,북구 동호동(종점)2,DGB1000002000,급행2,급행버스,가창초등학교앞
121,동명교통,DGB1000003000,급행3,급행버스,범물1동행정복지센터건너
122,설화명곡역(8번출구),DGB1000004000,급행4,급행버스,유곡리공영차고지앞
123,신흥버스,DGB1000005000,급행5,급행버스,대구대종점
124,연경동종점1,DGB1000006000,급행6,급행버스,신흥버스
125,북구 동호동(종점)2,DGB1000007000,급행7,급행버스,남도버스1
126,위생처리장2,DGB1000008000,급행8,급행버스,근린공원축구장앞
127,진천역(2번출구),DGB1000008100,급행8-1,급행버스,유곡리공영차고지앞
128,성보교통,DGB2000002000,순환2,순환버스,성보교통
129,성보교통,DGB2000002100,순환2-1,순환버스,성보교통
130,범물1동행정복지센터앞,DGB2000003000,순환3,순환버스,범물1동행정복지센터건너
131,범물1동행정복지센터앞,DGB2000003100,순환3-1,순환버스,범물1동행정복지센터건너
132,파계사(종점),DGB3000101000,101,간선버스,파계사(종점)
133,파계사(종점),DGB3000101001,101,간선버스,파계사(종점)
134,파계사(종점),DGB3000101002,101,간선버스,파계사(종점)
135,파계사(종점),DGB3000101003,101,간선버스,파계사(종점)
136,파계사(종점),DGB3000101004,101,간선버스,파계사(종점)
137,파계사(종점),DGB3000101006,101,간선버스,파계사(종점)
138,파계사(종점),DGB3000101007,101,간선버스,파계사(종점)
139,파계사(종점),DGB3000101008,101,간선버스,파계사(종점)
140,파계사(종점),DGB3000101100,101-1,간선버스,파계사(종점)
141,파계사(종점),DGB3000101101,101-1,간선버스,파계사(종점)
142,파계사(종점),DGB3000101102,101-1,간선버스,파계사(종점)
143,파계사(종점),DGB3000101103,101-1,간선버스,파계사(종점)
144,파계사(종점),DGB3000101104,101-1,간선버스,파계사(종점)
145,파계사(종점),DGB3000101105,101-1,간선버스,파계사(종점)
146,파계사(종점),DGB3000101108,101-1,간선버스,파계사(종점)
147,파계사(종점),DGB3000101109,101-1,간선버스,파계사(종점)
148,신흥버스,DGB3000156000,156,간선버스,신덕마을입구건너
149,금호지구종점(종점방향),DGB3000204000,204,간선버스,범물1동행정복지센터건너
150,두리봉터널종점,DGB3000234000,234,간선버스,방천리공영차고지
151,가창초등학교건너,DGB3000240000,240,간선버스,방천리공영차고지
152,앞산공원,DGB3000300000,300,간선버스,유통단지회차지2
153,삼산리(세왕교통2),DGB3000304000,304,간선버스,유통단지회차지2
154,대곡공원건너,DGB3000306000,306,간선버스,유통단지회차지2
155,영남대동문,DGB3000309000,309,간선버스,방천리공영차고지
156,유통단지회차지,DGB3000323000,323,간선버스,유통단지회차지2
157,유통단지회차지,DGB3000323100,323-1,간선버스,유통단지회차지2
158,유통단지회차지,DGB3000349000,349,간선버스,덕원고등학교앞2
159,월광수변공원,DGB3000356000,356,간선버스,조야동(종점)
160,갓바위,DGB3000401000,401,간선버스,범물1동행정복지센터건너
161,갓바위,DGB3000401078,401,간선버스,범물1동행정복지센터건너
162,갓바위,DGB3000401079,401,간선버스,범물1동행정복지센터건너
163,조야동(종점),DGB3000403000,403,간선버스,사월동(종점)
164,방천리공영차고지,DGB3000405000,405,간선버스,삼산리(세왕교통1)
165,앞산공원,DGB3000410000,410,간선버스,앞산공원
166,앞산공원,DGB3000410100,410-1,간선버스,앞산공원
167,유통단지회차지,DGB3000413000,413,간선버스,가창초등학교앞
168,매곡(종점),DGB3000425000,425,간선버스,황금고가교네거리
169,금구동(종점),DGB3000449000,449,간선버스,가창초등학교앞
170,신흥버스,DGB3000503000,503,간선버스,연경동종점2
171,영남대동문,DGB3000509000,509,간선버스,방천리공영차고지
172,소라아파트 건너,DGB3000509001,509,간선버스,방천리공영차고지
173,안심역(4번출구),DGB3000518000,518,간선버스,신흥버스
174,상록아파트,DGB3000518101,518-1,간선버스,반야월역(3번출구)
175,방천리공영차고지,DGB3000523000,523,간선버스,성보교통
176,방천리공영차고지,DGB3000523001,523,간선버스,성보교통
177,매곡(종점),DGB3000524000,524,간선버스,범물1동행정복지센터건너
178,동명교통,DGB3000527000,527,간선버스,연화리
179,범물1동행정복지센터앞,DGB3000564000,564,간선버스,연화리
180,앞산공원,DGB3000600000,600,간선버스,달성2차산업단지출장소건너
181,유가사(종점),DGB3000600070,600,간선버스,대곡역(1번출구)
182,대곡역(2번출구),DGB3000600071,600,간선버스,유가사(종점)
183,영남대동문,DGB3000609005,609,간선버스,대천공영차고지앞
184,상록아파트,DGB3000618000,618,간선버스,대곡주공8단지건너
185,상록아파트,DGB3000618001,618,간선버스,대곡주공8단지건너
186,금강동,DGB3000618002,618,간선버스,대곡주공8단지건너
187,성보교통,DGB3000623001,623,간선버스,달성군청건너
188,금구동(종점),DGB3000649000,649,간선버스,대곡공원앞
189,동양맨션앞,DGB3000650001,650,간선버스,다산(종점)
190,반야월역(3번출구),DGB3000651000,651,간선버스,명곡미래빌1단지
191,성보교통,DGB3000653000,653,간선버스,설화리(종점)1
192,매곡(종점),DGB3000655000,655,간선버스,유곡리공영차고지앞
193,대곡주공8단지앞,DGB3000706000,706,간선버스,관음변전소2
194,대구대종점,DGB3000708000,708,간선버스,한양산호아파트앞
195,대구대종점,DGB3000708001,708,간선버스,한양산호아파트앞
196,영남대동문,DGB3000719000,719,간선버스,칠곡우방타운건너(종점)
197,시지(종점),DGB3000724000,724,간선버스,칠곡우방타운건너(종점)
198,대곡주공8단지앞,DGB3000726000,726,간선버스,북구 동호동(종점)1
199,대덕맨션앞,DGB3000730001,730,간선버스,동명교통
200,칠곡우방타운앞(종점),DGB3000750000,750,간선버스,앞산공원
201,반야월역(3번출구),DGB3000805000,805,간선버스,달서아트센터앞
202,대구보건고등학교건너,DGB3000808000,808,간선버스,808종점
203,대구보건고등학교건너,DGB3000808001,808,간선버스,대구대종점
204,범물우방미진하이츠앞,DGB3000814000,814,간선버스,대구대종점
205,대천교,DGB3000836000,836,간선버스,반야월역(4번출구)1
206,동산의료원앞1,DGB3000840000,840,간선버스,경일대종점
207,상록아파트,DGB3000849000,849,간선버스,동호초등학교건너
208,금강동,DGB3000849003,849,간선버스,동호초등학교건너
209,상록아파트,DGB3000849102,849-1,간선버스,동호초등학교건너
210,상록아파트,DGB3000849103,849-1,간선버스,금강동
211,청라언덕(신남)역(1번출구),DGB3000909002,909,간선버스,금구동(종점)
212,관음변전소1,DGB3000937000,937,간선버스,덕원고등학교앞2
213,관음변전소4,DGB3000939000,939,간선버스,소라아파트 건너
214,영남대동문,DGB3000980000,980,간선버스,영남대동문 건너
215,모다아울렛앞,DGB3001725000,7250,간선버스,태전역2
216,TBC앞,DGB3001814000,8140,간선버스,TBC건너
217,칠성고가도로하단,DGB4010002001,가창2,지선버스,칠성고가도로하단
218,칠성고가도로하단,DGB4010002003,가창2,지선버스,칠성고가도로하단
219,칠성고가도로하단,DGB4010002004,가창2,지선버스,칠성고가도로하단
220,칠성고가도로하단,DGB4010002118,가창2,지선버스,칠성고가도로하단
221,매곡(종점),DGB4030001000,달서1,지선버스,대천공영차고지앞
222,화원유원지(사문진주막촌),DGB4030003001,달서3,지선버스,신흥버스
223,남도버스2,DGB4030004000,달서4,지선버스,남도버스1
224,남도버스2,DGB4030004100,달서4-1,지선버스,남도버스1
225,계명대학교동문앞,DGB4030005000,달서5,지선버스,남도버스1
226,다산(종점),DGB4040001006,달성1,지선버스,다산(종점)
227,다산(종점),DGB4040001007,달성1,지선버스,다산(종점)
228,다산(종점),DGB4040001008,달성1,지선버스,다산(종점)
229,다산(종점),DGB4040001009,달성1,지선버스,다산(종점)
230,갈실마을회관종점,DGB4040002001,달성2,지선버스,갈실마을회관종점
231,달성군청앞,DGB4040002002,달성2,지선버스,용연사
232,마비정벽화마을(종점),DGB4040002003,달성2,지선버스,마비정벽화마을(종점)
233,용연사,DGB4040002005,달성2,지선버스,달성군청건너
234,갈실마을회관종점,DGB4040002012,달성2,지선버스,용연사
235,달성군청앞,DGB4040002014,달성2,지선버스,달성군청건너
236,갈실마을회관종점,DGB4040002016,달성2,지선버스,마비정벽화마을(종점)
237,달성군청앞,DGB4040002017,달성2,지선버스,갈실마을회관종점
238,마비정벽화마을(종점),DGB4040002020,달성2,지선버스,달성군청건너
239,용연사,DGB4040002021,달성2,지선버스,용연사
240,용연사,DGB4040002023,달성2,지선버스,마비정벽화마을(종점)
241,달성군청앞,DGB4040002027,달성2,지선버스,갈실마을회관종점
242,갈실마을회관종점,DGB4040002030,달성2,지선버스,달성군청건너
243,마비정벽화마을(종점),DGB4040002034,달성2,지선버스,갈실마을회관종점
244,달성군청앞,DGB4040002036,달성2,지선버스,마비정벽화마을(종점)
245,마비정벽화마을(종점),DGB4040002039,달성2,지선버스,용연사
246,옥포간경리2,DGB4040002043,달성2,지선버스,달성군청건너
247,현풍시외버스터미널,DGB4040003002,달성3,지선버스,현풍시외버스터미널
248,현풍시외버스터미널,DGB4040003003,달성3,지선버스,현풍시외버스터미널
249,유가사(종점),DGB4040005000,달성5,지선버스,유천교2
250,유천교1,DGB4040005001,달성5,지선버스,유가사(종점)
251,유천교1,DGB4040005002,달성5,지선버스,유가사(종점)
252,유가사(종점),DGB4040005003,달성5,지선버스,유천교2
253,유가사(종점),DGB4040005070,달성5,지선버스,유천교2
254,유천교1,DGB4040005071,달성5,지선버스,유가사(종점)
255,유가사(종점),DGB4040005072,달성5,지선버스,유천교2
256,현풍시외버스터미널,DGB4040006003,달성6,지선버스,본말(종점)
257,현풍시외버스터미널,DGB4040006010,달성6,지선버스,본말(종점)
258,본말(종점),DGB4040006011,달성6,지선버스,현풍시외버스터미널
259,본말(종점),DGB4040006014,달성6,지선버스,달성군청건너
260,현풍시외버스터미널,DGB4040006019,달성6,지선버스,본말(종점)
261,유산리,DGB4040007001,달성7,지선버스,현풍시외버스터미널
262,현풍시외버스터미널,DGB4040007009,달성7,지선버스,유산리
263,조일고등학교(종점),DGB4050001000,동구1,지선버스,조일고등학교(종점)
264,조일고등학교(종점),DGB4050001100,동구1-1,지선버스,조일고등학교(종점)
265,상록아파트,DGB4050002000,동구2,지선버스,동호초등학교건너
266,상록아파트,DGB4050002001,동구2,지선버스,동호초등학교건너
267,부동(종점),DGB4050003000,동구3,지선버스,칠성고가도로하단
268,경주최씨종가(종점),DGB4050003001,동구3,지선버스,칠성고가도로하단
269,K2관사입구(종점),DGB4050003002,동구3,지선버스,칠성고가도로하단
270,구둔산,DGB4050003003,동구3,지선버스,칠성고가도로하단
271,K2관사입구(종점),DGB4050003004,동구3,지선버스,칠성고가도로하단
272,상록아파트,DGB4050004000,동구4,지선버스,반야월역(4번출구)1
273,반야월역(3번출구),DGB4050004100,동구4-1,지선버스,동호초등학교건너
274,매여동(동구)저탄장,DGB4050005000,동구5,지선버스,매여동(동구)저탄장
275,용계삼거리1,DGB4050005100,동구5,지선버스,매여동(동구)저탄장
276,안심역(5번출구),DGB4050006000,동구6,지선버스,LH14단지아파트
277,안심역(5번출구),DGB4050006100,동구6,지선버스,LH14단지아파트
278,안심역(5번출구),DGB4050006200,동구6,지선버스,내곡동마을회관
279,상록아파트,DGB4050007000,동구7,지선버스,동호초등학교건너
280,연경동종점1,DGB4050008000,동구8,지선버스,연경동종점2
281,북구 동호동(종점)2,DGB4050009000,동구9,지선버스,북구 동호동(종점)1
282,북구 동호동(종점)2,DGB4050009003,동구9,지선버스,북구 동호동(종점)1
283,성보교통,DGB4060001000,북구1,지선버스,도남5
284,봉무공원앞,DGB4060002000,북구2,지선버스,봉무공원앞
285,상록아파트,DGB4060003000,북구3,지선버스,노곡동
286,방천리공영차고지,DGB4060004000,북구4,지선버스,방천리공영차고지
287,방천리공영차고지,DGB4060004002,북구4,지선버스,방천리공영차고지
288,방천리공영차고지,DGB4060004003,북구4,지선버스,방천리공영차고지
289,매곡(종점),DGB4070001000,성서1,지선버스,연화리
290,매곡(종점),DGB4070001100,성서1-1,지선버스,연화리
291,영진전문대학칠곡캠퍼스정문,DGB4070002000,성서2,지선버스,대천공영차고지앞
292,하산스무지(종점),DGB4070002003,성서2,지선버스,대천공영차고지앞
293,육신사,DGB4070002006,성서2,지선버스,대천공영차고지앞
294,영진전문대학칠곡캠퍼스정문,DGB4070002016,성서2,지선버스,대천공영차고지앞
295,영진전문대학칠곡캠퍼스정문,DGB4070002018,성서2,지선버스,대신센트럴자이
296,하산스무지(종점),DGB4070002021,성서2,지선버스,대천공영차고지앞
297,기곡(종점),DGB4070002022,성서2,지선버스,대천공영차고지앞
298,하산스무지(종점),DGB4070002023,성서2,지선버스,대천공영차고지앞
299,기곡(종점),DGB4070002026,성서2,지선버스,대천공영차고지앞
300,기곡(종점),DGB4070002027,성서2,지선버스,대천공영차고지앞
301,하산스무지(종점),DGB4070002033,성서2,지선버스,대신센트럴자이
302,하산스무지(종점),DGB4070002034,성서2,지선버스,대신센트럴자이
303,하산스무지(종점),DGB4070002050,성서2,지선버스,대천공영차고지앞
304,하산스무지(종점),DGB4070002060,성서2,지선버스,대천공영차고지앞
305,매곡(종점),DGB4070003000,성서3,지선버스,연화리
306,매곡(종점),DGB4070003003,성서3,지선버스,연화리
307,매곡(종점),DGB4070003007,성서3,지선버스,연화리
308,매곡(종점),DGB4070003008,성서3,지선버스,연화리
309,매곡(종점),DGB4070003010,성서3,지선버스,연화리
310,매곡(종점),DGB4070003011,성서3,지선버스,연화리
311,범물1동행정복지센터앞,DGB4080001000,수성1,지선버스,범물1동행정복지센터건너
312,범물1동행정복지센터앞,DGB4080001100,수성1-1,지선버스,범물1동행정복지센터건너
313,시지(종점),DGB4080002000,수성2,지선버스,덕원고등학교앞2
314,시지(종점),DGB4080002001,수성2,지선버스,덕원고등학교앞2
315,시지(종점),DGB4080002002,수성2,지선버스,덕원고등학교앞2
316,반야월역(3번출구),DGB4080003000,수성3,지선버스,안심중학교앞
317,반야월역(3번출구),DGB4080003100,수성3-1,지선버스,안심중학교앞
318,범물1동행정복지센터앞,DGB4080004000,수성4,지선버스,범물1동행정복지센터건너
319,북구 동호동(종점)2,DGB4090001000,칠곡1,지선버스,북구 동호동(종점)1
320,북구 동호동(종점)2,DGB4090001100,칠곡1-1,지선버스,북구 동호동(종점)1
321,노곡동,DGB4090002001,칠곡2,지선버스,북구 동호동(종점)1
322,노곡동,DGB4090002004,칠곡2,지선버스,추동교
323,노곡동,DGB4090002007,칠곡2,지선버스,연호2동주민센터
324,동명교통,DGB4090003001,칠곡3,지선버스,동명교통
325,동명교통,DGB4090003007,칠곡3,지선버스,동명교통
326,동명교통,DGB4090003011,칠곡3,지선버스,동명교통
327,동명교통,DGB4090003013,칠곡3,지선버스,동명교통
328,동명교통,DGB4090003014,칠곡3,지선버스,동명교통
329,송학리윗세뜸,DGB4090003015,칠곡3,지선버스,동명교통
330,동명교통,DGB4090003017,칠곡3,지선버스,동명교통
331,동명교통,DGB4090003018,칠곡3,지선버스,방턱골
332,동명교통,DGB4090003021,칠곡3,지선버스,동명교통
333,동명교통,DGB4090003023,칠곡3,지선버스,송학교입구
334,북구 동호동(종점)2,DGB4090004000,칠곡4,지선버스,북구 동호동(종점)1
335,도남동(종점),DGB4090005000,칠곡5,지선버스,도남동(종점)
336,도남동(종점),DGB4090005001,칠곡5,지선버스,도남동(종점)
337,북구 동호동(종점)2,DGB4090006000,칠곡6,지선버스,북구 동호동(종점)1
338,동화시설집단지구(종점)2(대구시민안전테마파크),DGB4100001020,팔공1,지선버스,칠성고가도로하단
339,팔공학생야영장앞,DGB4100001021,팔공1,지선버스,칠성고가도로하단
340,능성동(종점)2,DGB4100001022,팔공1,지선버스,칠성고가도로하단
341,평광종점,DGB4100001023,팔공1,지선버스,칠성고가도로하단
342,갓바위,DGB4110001006,팔공2,지선버스,동대구역지하도2
343,갓바위,DGB4110002000,팔공3,지선버스,칠곡경대병원역건너2
344,방천리공영차고지,DGB4120001000,서구1,지선버스,방천리공영차고지
345,방천리공영차고지,DGB4120001100,서구1-1,지선버스,방천리공영차고지
346,앞산공원,DGB4130001000,남구1,지선버스,앞산공원
347,앞산공원,DGB4130001100,남구1-1,지선버스,앞산공원
348,인천공항T2-3층,ICB161000002,6777,공항버스,인천스타트업파크
349,한국무역센터.삼성역,ICB161000004,M6450,광역버스,e편한세상 정문
350,동인천역북광장,ICB161000005,82,간선버스,신흥교통
351,인천이음초등학교,ICB161000006,93,간선버스,국제성모병원
352,주안역환승정류장,ICB161000007,58,간선버스,송도제2차고지
353,송내역남부,ICB161000008,급행99,급행버스,송도제2차고지
354,금마초등학교,ICB161000011,급행97,급행버스,왕길동(기점)
355,귤현차량기지(안골공원),ICB161000012,77,간선버스,마전지구버스차고지
356,문화교회,ICB161000013,20A,간선버스,소래포구역
357,귤현차량기지(안골공원),ICB161000014,75,간선버스,왕길동(기점)
358,성산2교,ICB161000015,M6751,광역버스,e편한세상 정문
359,무의공영주차장,ICB161100001,무의1,마을버스,인천공항T1(3층7번)
360,예술회관사거리,ICB163000001,순환51,지선버스,구월아시아드1단지
361,동암남부역,ICB163000002,568,지선버스,2001아울렛부평점
362,인천대학교공과대학,ICB164000001,98,간선버스,인천대학교공과대학
363,주안역,ICB164000002,525,지선버스,동막역(3번출구)
364,인천성모병원종점지주차장,ICB165000001,1,간선버스,진웅종점
365,월미도(시티투어),ICB165000002,2,간선버스,효성동동화운수차고지
366,가좌동차고,ICB165000004,4,간선버스,송도제2차고지
367,주안역환승정류장,ICB165000006,5-1,간선버스,용현동성원상떼빌아파트
368,남동체육관,ICB165000007,6,간선버스,송도공영차고지
369,남동체육관(체조경기장),ICB165000008,6-1,간선버스,송도공영차고지
370,송내역남부,ICB165000012,8,간선버스,인천대학교공과대학
371,삼산주공1단지(상가앞),ICB165000013,10,간선버스,월미문화의거리
372,문학경기장(월드컵경기장),ICB165000014,11,간선버스,가좌동차고
373,금마초등학교,ICB165000015,12,간선버스,항동7가버스차고지(삼거리)
374,검암역(원당방면),ICB165000016,13,간선버스,신흥교통
375,오조산공원,ICB165000017,14,간선버스,항동7가버스차고지
376,인천나비공원,ICB165000018,14-1,간선버스,서창공영차고지
377,서창공영차고지,ICB165000019,15,간선버스,가좌동차고
378,가좌동차고지,ICB165000020,16,간선버스,송도제2차고지
379,문화교회,ICB165000022,20,간선버스,소래포구역종점
380,만석비치타운,ICB165000023,21,간선버스,서창공영차고지
381,신명아파트.대우3차아파트,ICB165000025,22,간선버스,원진운수차고지
382,부개역,ICB165000026,23,간선버스,항동7가버스차고지
383,금강마을,ICB165000027,24,간선버스,항동7가버스차고지(삼거리)
384,청라국제도시역(영종방향),ICB165000028,24-1,간선버스,가좌동차고
385,월곶풍림아파트3차,ICB165000029,27,간선버스,항동7가버스차고지
386,대동아파트,ICB165000030,28,간선버스,가좌동차고
387,송내역남부,ICB165000031,30,간선버스,왕길동(기점)
388,인하대병원,ICB165000032,33,간선버스,장수공영차고지
389,삼산건강공원(미정차),ICB165000033,34,간선버스,무지개아파트(동남아파트)
390,청천푸르지오아파트,ICB165000034,35,간선버스,무지개아파트(동남아파트)
391,항동7가버스차고지,ICB165000035,36,간선버스,장수공영차고지
392,수현마을,ICB165000036,37,간선버스,삼산고등학교(미래타운4단지)
393,유원아파트,ICB165000037,38,간선버스,서창공영차고지
394,구월아시아드은빛호수공원,ICB165000039,42,간선버스,청라BRT차고지입구
395,효성동동화운수차고지,ICB165000041,45,간선버스,월미도
396,두산아파트,ICB165000042,46,간선버스,신흥교통입구
397,동인천역,ICB165000043,62,간선버스,서창공영차고지
398,주안역환승정류장,ICB165000045,65,간선버스,무지개아파트(동남아파트)
399,주안역환승정류장,ICB165000046,65-1,간선버스,무지개아파트(동남아파트)
400,부개역,ICB165000048,67-1,간선버스,가좌동차고
401,초정마을,ICB165000050,76,간선버스,마전지구버스차고지
402,송정역,ICB165000052,78,간선버스,1차풍림아이원
403,인천성모병원종점지주차장,ICB165000053,79,간선버스,진웅종점
404,송내역.로데오거리,ICB165000054,80,간선버스,원창동(기점)
